,titles,subtitles,links
38,DON'T SUFFER FULS,Fulham agree fee with rivals for striker after Mitrovic 'refuses to play',https://www.thesun.co.uk/sport/23148142/fulham-transfer-raul-jimenez-wolves-mitrovic/
39,COL SHOULDER,Chelsea boss Poch responds to Colwill rumour as Brighton eye Caicedo swap,https://www.thesun.co.uk/sport/23148655/chelsea-colwill-caicedo-transfer-swap-pochettino/
40,"SAINT, NOT SINNERS","Howe insists Saint-Maximin's £30million Saudi move is ""above board""",https://www.thesun.co.uk/sport/football/23144780/howe-saint-maximin-saudi-move/
41,AARON AND ON,Man Utd set to block Palace move and hand Wan-Bissaka another year on deal,https://www.thesun.co.uk/sport/23142179/man-utd-wan-bissaka-contract-crystal-palace-transfer/
42,"ASH, BANG, WALLOP","Latest odds, offers & tips for fourth Test between England and Australia",https://www.thesun.co.uk/betting/23080993/the-ashes-fourth-test-odds/
43,TOP BONUS,Get £20 in free bets when you stake £5 on football with Ladbrokes,https://www.thesun.co.uk/sport/22580085/ladbrokes-free-bets-new-customer-bonus-football/
44,TOP 40,Women's World Cup 2023: Get £40 football welcome bonus with William Hill,https://www.thesun.co.uk/sport/20695257/william-hill-free-bets-sign-up-bonus-offer-register/
45,WHAT A MESS,Fans mock Inter Miami star after unfortunate incident during Messi debut,https://www.thesun.co.uk/sport/23140469/inter-miami-messi-robinson/
46,DREAM KYLER,Tottenham 'enter Kylian Mbappe transfer race' - much to the amusement of fans,https://www.thesun.co.uk/sport/23145450/tottenham-spurs-kylian-mbappe-transfer-news/
47,FEELING BLUE,Chelsea could lose wonderkid to rivals with star available on free next year,https://www.thesun.co.uk/sport/23142226/chelsea-ian-maatsen-burnley-transfer/
48,ROVER 'N OUTCH,Spurs stunned as Blackburn demand huge fee for whizkid wanted by Postecoglou,https://www.thesun.co.uk/sport/23142040/tottenham-blackburn-transfer-ashley-phillips/
49,SET THE TONE,Ivan Toney could leave Brentford before return from eight-month ban,https://www.thesun.co.uk/sport/23143140/ivan-toney-brentford-transfer-news-betting-ban/
50,BRU-NO,Fernandes set to SNUB Neville this season in interviews despite becoming captain,https://www.thesun.co.uk/sport/23142406/bruno-fernandes-gary-neville-feud-man-utd-captain/
51,,Four arrested after masked men in hearse storm football pitch during match,https://www.thesun.co.uk/sport/23144371/arrested-men-hearse-football-pitch-gateshead-dunston/
52,DUBAI BYE,I skipped England tournament to go on holiday to Dubai with my girlfriend,https://www.thesun.co.uk/sport/23105598/gabby-agbonlahor-england-tournamentoliday-dubai-girlfriend/
53,WOU ARE YER?,Man Utd loan flop Weghorst booed by OWN FANS and endures X-rated chant,https://www.thesun.co.uk/sport/23145331/man-utd-wout-weghorst-burnley/
54,IT KUD BE YOU,Chelsea in talks with Ajax over ex- Man Utd target with terms almost agreed,https://www.thesun.co.uk/sport/23147351/chelsea-transfer-news-ajax-manchester-united-mohammed-kudus/
55,SON-BELIEVABLE,Five Premier League icons' sons who could break into first teams this season,https://www.thesun.co.uk/sport/23129867/premier-league-legends-sons-beckham/
56,ALL-WRIGHT,"My dad Ian Wright wound me up about Arsenal title, but he'll pipe down this year",https://www.thesun.co.uk/sport/23143349/ian-wright-arsenal-manchester-city-shaun-wright-phillips/
57,MESSI BUSINESS,Luton want £10m striker Martinez but move faces being scuppered - by Messi,https://www.thesun.co.uk/sport/23141663/luton-transfer-josef-martinez-lionel-messi/
58,CAST AWAY,I'm an Aston Villa legend - I met super fan Tom Hanks but he didn't know my name,https://www.thesun.co.uk/sport/23121775/aston-villa-tom-hanks-gabriel-agbonlahor/
59,DREAM ENDING,"Ex-Man Utd ace, 36, likened to World Cup legend retires with heartfelt message",https://www.thesun.co.uk/sport/23142807/giuseppe-rossi-retires-man-utd-world-cup/
60,MATE-OH NO,Kovacic leaves Man City team-mates in stitches as he butchers initiation song,https://www.thesun.co.uk/sport/23140309/chelsea-mateo-kovacic-man-city-initiation-erling-haaland-birthday/
61,OD MOVE,Chelsea outcast Callum Hudson-Odoi set for reunion with old boss in Serie A,https://www.thesun.co.uk/sport/23146512/callum-hudson-odoi-chelsea-transfer-news-lazio/
62,ON YOUR TODD,Chelsea AXE key man as Pochettino continues summer overhaul,https://www.thesun.co.uk/sport/23138818/chelsea-boehly-pochettino-vivell/
63,PEP WALK,Arsenal set to RIP UP contract of outcast if they can't complete transfer,https://www.thesun.co.uk/sport/23147525/arsenal-set-terminate-contract-transfer-nicolas-pepe/
64,STERLING EFFORT,Sterling reveals reason for injury woes that have blighted Chelsea career,https://www.thesun.co.uk/sport/23137186/chelsea-raheem-sterling-injuries-new-diet/
65,GULF IN CLASS,How the Saudi Pro League and MLS dream XIs could line-up once window shuts,https://www.thesun.co.uk/sport/23102714/saudi-arabia-xi-mls-xi-cristiano-ronaldo-lionel-messi/
66,ROCKIN' RANGERS,Gareth Ainsworth reveals music was first love as band releases debut album,https://www.thesun.co.uk/sport/23020845/qpr-manager-gareth-ainsworth-cold-blooded-hearts-debut-album/
67,,Aubameyang completes Marseille transfer as French club liken him to a superhero,https://www.thesun.co.uk/sport/23135895/pierre-emerick-aubameyang-chelsea-marseille-transfer-done-deal/
68,,"I travelled 1,400 miles to watch my club in Europe but was ONLY fan there",https://www.thesun.co.uk/sport/23093979/gints-jankovskis-latvia-football-fan-confernece-league/
69,LONG GONE SILVA,Prem legend David Silva set to retire at 37 after injury blow in pre-season,https://www.thesun.co.uk/sport/23140459/premier-league-david-silva-set-retire-football-injury-sociedad/
70,PHIL THOMAS,It's time to rip up FFP rules or Saudi billions may send the Prem into oblivion,https://www.thesun.co.uk/sport/23142897/premier-league-ffp-phil-thomas-saudi-league/
71,MESS-ED UP,"Fans are paying almost £1000 for Messi debut, but football won't conquer US",https://www.thesun.co.uk/sport/23124577/lionel-messi-inter-miami-debut-mls/
72,MARK IRWIN,Levy can't sell Kane at any price - Spurs are effectively a one-man team,https://www.thesun.co.uk/sport/23045029/daniel-levy-harry-kane-transfer-tottenham/
73,BUSTED!,Shearer's daughter Hollie stuns in bikini but sister reveals it's pinched from her,https://www.thesun.co.uk/sport/23141355/hollie-shearer-sister-chloe-bikini-alan/
74,UN-VAR-LIEVABLE,'World's most beautiful woman' and ex-Prem Wag shows off underboob in pics,https://www.thesun.co.uk/sport/23105532/viktoria-varga-underboob-pics-graziano-pelle-wife/
75,UP AND ATT 'EM,Jack Grealish Wag Sasha Attwood leaves fans stunned with barely-there bikini,https://www.thesun.co.uk/sport/23136641/jack-grealish-sasha-attwood-bikini-fans-react/
